,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
44,bio-boiler_FR,7.782548221379157e-12,1.0236953285208502e-11,60988.13680129094,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Biomass Boiler
45,gas-boiler_ES,33755.64540098383,5384.959942319928,3530.013360682859,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Gas Boiler
46,gas-boiler_FR,5380.518582802495,39320.14179156496,2.3981257133734968e-11,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Gas Boiler
47,gas-boiler_PT,4325.678034231609,1.587126675757143e-13,217.39898577350667,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Gas Boiler
48,ground-heatpump_ES,6191.357433230616,4.30545558470932e-15,3.1690078454429267e-13,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Ground HP
49,ground-heatpump_FR,17435.00096785186,3.273394157865143e-15,4.066333473781741e-13,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Ground HP
50,ground-heatpump_PT,497.7547917653589,5.388341023813179e-15,3.7115619430784227e-13,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Ground HP
51,large-battery_ES__elec_ES,8.258596630761418e-11,10102.316746544091,12170.63747022816,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Battery Charger
52,large-battery_PT__elec_PT,1.2518683911009495e-10,2688.6114088094255,7632.597194580426,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Battery Charger
53,nuclear-3_ES,14161.540068809638,1.6790796180824368e-14,1.9816151075796444e-12,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Nuclear
54,nuclear-3_PT,2944.5182179413896,9.581069786958588e-15,8.246260060069258e-12,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Nuclear
55,solar-PV-no-tracking_ES,28469.240214129844,45392.64384919348,89114.91754487826,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Solar
56,solar-PV-no-tracking_FR,60402.41918616007,37561.66753020004,12296.290687190518,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Solar
57,solar-PV-no-tracking_PT,12246.630587886553,7826.049784211649,28482.218824535536,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Solar
58,wind-on-SP199-HH100_ES,54228.61488800113,1070.950498074078,8400.818375197594,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Onshore Wind
59,wind-on-SP199-HH100_FR,82104.50208253246,62192.527865281,43575.57966422853,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Onshore Wind
