,source,target,y2030,y2040,y2050,polygon,technology,scenario
197,wind,electricity,60.28822049243315,32.03879372761859,0.0,FR,wind-on-existing_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
198,wind,electricity,7.735700489473533,4.461883893601762,0.0,PT,wind-on-existing_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
199,methane,transport,3.9593920746480262,4.819145782285883,2.058883878816973,ES,CH4_bus-CNG_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
200,methane,transport,4.8001714253354795,6.682591592133706,10.00035713611558,FR,CH4_bus-CNG_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
201,methane,transport,0.34209256595097115,0.32308742339813934,0.32308742339813934,PT,CH4_bus-CNG_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
202,methane,transport,0.2281080483056829,0.0,2.06071950054266,ES,CH4_car-CNG_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
203,methane,transport,0.014206007718146233,0.0,0.0,FR,CH4_car-CNG_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
204,methane,transport,0.810627438963654,1.6205536431185161,2.025867362600343,PT,CH4_car-CNG_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
205,methane,transport,2.9686150799999993,5.937230159999999,7.5846778079999995,FR,CH4_truck-CNG_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
206,methane,transport,0.20306030399999997,0.40612060799999994,0.293789376,PT,CH4_truck-CNG_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
207,methane,transport,3.9020981999999997,7.8041963999999995,0.0,ES,CH4_truck-LNG_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
208,methane,transport,1.225930464,2.451860928,4.199946959999999,FR,CH4_truck-LNG_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
209,methane,transport,6.828675791999998,13.649348448,8.189208911999998,ES,CH4_van-CNG_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
210,methane,transport,1.6578159839999997,3.267760319999999,5.227375823999999,FR,CH4_van-CNG_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
211,methane,transport,0.24219648,0.4835519999999999,0.4835519999999999,PT,CH4_van-CNG_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
212,hydrogen,transport,0.0,0.0,1.1563327947974633,ES,H2_bus-H2_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
213,hydrogen,transport,0.0,0.0,0.7491643888396751,FR,H2_bus-H2_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
214,hydrogen,transport,0.08758072200048143,0.17516144400096287,0.3423610041837001,PT,H2_bus-H2_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
215,hydrogen,transport,0.0,0.0,3.9365185178937954,ES,H2_car-H2_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
216,hydrogen,transport,1.7007492501925896,3.401498500385179,6.802997000770358,FR,H2_car-H2_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
217,hydrogen,transport,0.5946406894907814,1.1889874389472121,1.6986794585107392,PT,H2_car-H2_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
218,hydrogen,transport,0.9248536439999998,1.8497072879999996,1.8497072879999996,ES,H2_truck-H2_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
219,hydrogen,transport,0.690438672,1.380877344,2.0735577,FR,H2_truck-H2_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
220,hydrogen,transport,0.24444342,0.48888684,1.3435334639999998,PT,H2_truck-H2_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
221,hydrogen,transport,0.0,0.0,3.1080068279999997,ES,H2_van-H2_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
222,hydrogen,transport,0.13698187199999998,0.27396374399999995,0.8218912319999998,FR,H2_van-H2_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
223,hydrogen,transport,0.20248739999999996,0.4049747999999999,0.8099495999999998,PT,H2_van-H2_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
