,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
83,air-heatpump_FR,58116.66989285306,58116.66989285306,58116.66989285305,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Air HP
84,air-heatpump_PT,1659.1826392305693,1659.1826392305693,1659.182639230567,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Air HP
85,bio-boiler-existing_FR,42906.79,42906.79,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Biomass Boiler
86,bio-boiler-existing_PT,314.0736587681756,9.418788267222212e-12,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Biomass Boiler
87,bio-boiler_FR,7.769150991033514e-12,1.796554661016491e-11,60988.13680129096,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Biomass Boiler
88,coal-boiler-existing_ES,245.27999999999997,173.56999999999996,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Coal Boiler
89,coal-boiler-existing_FR,133.97,94.80499999999999,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Coal Boiler
90,coal-boiler-existing_PT,0.029999999999973746,0.019999999999972644,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Coal Boiler
91,electric-heating-existing_ES,4169.06,3398.945,1088.5999999999997,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Electric Heater
92,electric-heating-existing_FR,14029.9,11438.275,3663.3999999999996,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Electric Heater
93,electric-heating-existing_PT,647.4,527.81,169.0499999999997,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Electric Heater
94,gas-boiler-existing_ES,16541.53,12319.779999999999,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Gas Boiler
95,gas-boiler-existing_FR,82713.42,61603.195,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Gas Boiler
96,gas-boiler-existing_PT,1459.26,1086.8249999999998,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Gas Boiler
97,gas-boiler_ES,33755.64540098383,39140.60534330375,42670.61870398661,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Gas Boiler
98,gas-boiler_FR,5380.518582802495,44700.66037436746,44700.66037436748,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Gas Boiler
99,gas-boiler_PT,4325.678034231609,4325.678034231609,4543.077020005108,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Gas Boiler
100,gas-extraction_ES,99.3,99.3,99.3,methane,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Gas Extractions
101,ground-heatpump-existing_ES,160.67,113.69999999999997,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Ground HP
102,ground-heatpump-existing_FR,2832.02,2004.065,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Ground HP
103,ground-heatpump-existing_PT,34.989999999999995,24.759999999999994,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Ground HP
104,ground-heatpump_ES,6191.357433230743,6191.357433230743,6191.357433230743,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Ground HP
105,ground-heatpump_FR,17435.00096785587,17435.00096785587,17435.00096785587,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Ground HP
106,ground-heatpump_PT,497.75479176915013,497.75479176915013,497.75479176915036,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Ground HP
107,hydro-turbine_ES,9814.826289018676,9814.826289018676,9814.826289018676,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Hydro Turbine
108,hydro-turbine_FR,6764.4465500718,6764.4465500718,6764.4465500718,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Hydro Turbine
109,hydro-turbine_PT,1288.0925359611952,1288.0925359611952,1288.0925359611952,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Hydro Turbine
110,large-battery_ES__elec_ES,8.258596630761418e-11,10102.3167465442,22272.95421677239,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Battery Charger
111,large-battery_PT__elec_PT,1.2518683911009495e-10,2688.611408809551,10321.208603389978,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Battery Charger
112,nuclear-3-existing_ES,7117.0,6405.3,4270.199999999999,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Nuclear
113,nuclear-3-existing_FR,54917.32957858868,41435.214657119934,33248.20696506054,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Nuclear
114,nuclear-3_ES,14161.540068809638,14161.540068809638,14161.54006880964,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Nuclear
115,nuclear-3_PT,2944.5182179413896,2944.5182179413896,2944.518217941398,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Nuclear
116,oil-boiler-existing_ES,4488.526195016116,2.09580912944767e-11,0.0,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Diesel Boiler
117,solar-PV-existing_ES,45900.00000000001,43550.05,0.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Solar
118,solar-PV-existing_FR,26700.000000000004,23150.0,0.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Solar
119,solar-PV-existing_PT,6300.0,6100.0,0.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Solar
120,solar-PV-no-tracking_ES,28469.240214129844,73861.88406334081,162976.80160756406,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Solar
121,solar-PV-no-tracking_FR,60402.41918616007,97964.08671638441,110260.37740258068,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Solar
122,solar-PV-no-tracking_PT,12246.630587886553,20072.680372087678,48554.89919681918,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Solar
123,wind-off-existing_ATFR,2500.0,2500.0,0.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Offshore Wind
124,wind-on-SP199-HH100_ES,54228.61488800113,55299.56538607521,63700.38376127281,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Onshore Wind
125,wind-on-SP199-HH100_FR,82104.50208253246,144297.02994781345,187872.60961204197,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Onshore Wind
126,wind-on-existing_ES,24096.800000000003,17597.7,0.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Onshore Wind
127,wind-on-existing_FR,24100.0,19350.0,0.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Onshore Wind
128,wind-on-existing_PT,4700.0,2750.0,0.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Onshore Wind
