,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
38,electric-heating-existing_ES,0.0,770.1150000000002,2310.3450000000003,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Electric Heater
39,electric-heating-existing_FR,0.0,2591.625,7774.875,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Electric Heater
40,electric-heating-existing_PT,0.0,119.59000000000003,358.7600000000002,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Electric Heater
41,gas-boiler-existing_ES,0.0,4221.75,12319.779999999999,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Gas Boiler
42,gas-boiler-existing_FR,0.0,21110.225,61603.195,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Gas Boiler
43,gas-boiler-existing_PT,0.0,372.4350000000002,1086.8249999999998,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Gas Boiler
44,ground-heatpump-existing_ES,0.0,46.97000000000001,113.69999999999997,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Ground HP
45,ground-heatpump-existing_FR,0.0,827.9549999999999,2004.065,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Ground HP
46,ground-heatpump-existing_PT,7.105427357601002e-15,10.23,24.759999999999994,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Ground HP
47,nuclear-3-existing_ES,0.0,711.6999999999998,2135.1000000000013,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Nuclear
48,nuclear-3-existing_FR,6452.67042141132,13482.114921468747,8187.007692059393,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Nuclear
49,oil-boiler-existing_ES,3965.4738049838843,4488.526195016095,2.09580912944767e-11,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Diesel Boiler
50,oil-boiler-existing_FR,24624.959999999966,8.345863321586754e-12,2.3618768311738916e-11,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Diesel Boiler
51,oil-boiler-existing_PT,1757.559999999909,8.221243194201402e-11,8.766483669457282e-12,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Diesel Boiler
52,oil-eng-existing_ES,535.9999999999746,7.24975034076385e-14,2.530922129200031e-11,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Diesel Group
53,oil-eng-existing_FR,2052.799999999991,7.21000757706418e-13,8.582444152802903e-12,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Diesel Group
54,solar-PV-existing_ES,0.0,2349.9500000000044,43550.05,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Solar
55,solar-PV-existing_FR,0.0,3550.0000000000036,23150.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Solar
56,solar-PV-existing_PT,0.0,200.0,6100.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Solar
57,wasteST-existing_ES,491.39999999999947,1.267481447478076e-14,4.95913955033217e-13,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,wasteST-existing
58,wasteST-existing_FR,836.0999999999995,2.198673296266607e-14,4.927782302482752e-13,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,wasteST-existing
59,wind-off-existing_ATFR,0.0,0.0,2500.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Offshore Wind
60,wind-on-existing_ES,0.0,6499.100000000002,17597.7,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Onshore Wind
61,wind-on-existing_FR,0.0,4750.0,19350.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Onshore Wind
62,wind-on-existing_PT,0.0,1950.0,2750.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Onshore Wind
